Canon,Contributor,Title,Roth year,Roth page,Publication statement,Physical description / ideal copy,Edition / issue note,Collector flags,Search tier,Evidence confidence,Parr/Badger overlap,PB volumes,PB page / refs,PB confidence,Source
Roth 101,Weegee,Naked City,1945,118,"New York: Essential Books, (1945).","4to.; black-and-white photographs; black cloth; photographically illustrated dust jacket.",,dust jacket,CORE,Very high,Yes,1,V1: 183,High provisional,"Andrew Roth, The Book of 101 Books (2001), primary PDF"
Roth 101,Wright Morris,The Inhabitants,1946,122,"New York and London: Charles Scribner’s Sons, 1946.","Ato.; black-and-white photographs; tan cloth; printed dust jacket.",,dust jacket,CORE,Very high,No,,,,"Andrew Roth, The Book of 101 Books (2001), primary PDF"
Roth 101,Zdeněk Tmej,Abeceda,1946,124,"Praha: Nak/adatelstvi Za’Druha a.s., 1946.","4to.; gravure plates; flexible boards; photographically illustrated dust jacket.",,dust jacket,CORE,Very high,No,,,,"Andrew Roth, The Book of 101 Books (2001), primary PDF"
Roth 101,Robert Capa,Slightly Out of Focus,1947,126,"New York: Henry Holt and Company, (1947).","Large 8vo.; black-and-white photographs; brown cloth; printed dust jacket.",,dust jacket,CORE,Very high,No,,,,"Andrew Roth, The Book of 101 Books (2001), primary PDF"
Roth 101,Edward Weston,Fifty Photographs,1947,128,"New York: Duell Sloan & Pearce Publishers, (1947).","4to.; black-and-white photographs; printed black paper-covered boards; printed dust jacket.","1,500 copies, numbered and initialed by Weston, the entire edition.","numbered; dust jacket",CORE,Very high,No,,,,"Andrew Roth, The Book of 101 Books (2001), primary PDF"
Roth 101,Robert Doisneau and Blaise Cendrars,La Banlieue de Paris,1949,132,"Paris: Pierre Seghers, (1949).","Small 4to.; gravure plates; photographically illustrated endpapers; printed yellow paper-covered boards; photographically illustrated dust jacket.",,dust jacket,CORE,Very high,Yes,1,"V1: 187, 201",High provisional,"Andrew Roth, The Book of 101 Books (2001), primary PDF"
Roth 101,Henri Cartier-Bresson,The Decisive Moment,1952,134,"New York: Simon and Schuster in collaboration with Editions Verve of Paris, (1952).","Folio; gravure plates; captions pamphlet laid in; illustrated paper-covered boards, designed by Henri Matisse; dust jacket, printed in silk screen in imitation of the boards.",,"dust jacket; laid in",CORE,Very high,Yes,1,V1: 208-9,High provisional,"Andrew Roth, The Book of 101 Books (2001), primary PDF"
Roth 101,Paul Strand and Claude Roy,La France de Profil,1952,136,"Lausanne: La Guild du Livre, (1952).","Ato.; gravure plates; gatefold; photographic wrappers; glassine dust jacket.","10,300 copies, the entire edition.","dust jacket; glassine",CORE,Very high,Yes,1,V1: 198-9,High provisional,"Andrew Roth, The Book of 101 Books (2001), primary PDF"
Roth 101,Roy DeCarava and Langston Hughes,The Sweet Flypaper of Life,1955,138,"New York: Simon and Schuster, 1955.","8vo.; gravure plates; blue paper-covered boards, white cloth spine; photographically illustrated dust jacket.","A small unspecified number were issued in cloth (as pictured here).",dust jacket,CORE,Very high,Yes,1,V1: 182-3,High provisional,"Andrew Roth, The Book of 101 Books (2001), primary PDF"
Roth 101,William Klein,Life Is Good & Good for You in New York,1956,140,"France: Editions du Seuil Album Petite Planete |, 1956.","4to.; gravure plates; photographic endpapers; pamphlet in French, listing illustrations, laid in; black cloth; illustrated dust jacket.",,"dust jacket; laid in",CORE,Very high,Yes,1,V1: 242-3,High provisional,"Andrew Roth, The Book of 101 Books (2001), primary PDF"
